CityCode,CityName,AreaKM2,PopulationW,GovernLocation,MailCode
150426.0,翁牛特旗,11882.0,48.0,乌丹镇,24500.0
150428.0,喀喇沁旗,3006.0,35.0,锦山镇,24400.0
150430.0,敖汉旗,8294.0,60.0,新惠镇,24300.0
150500.0,通辽市,58863.0,317.0,科尔沁区,28000.0
150502.0,科尔沁区,3516.0,84.0,西门街道,28000.0
150581.0,霍林郭勒市,585.0,8.0,莫斯台街道,29200.0
150523.0,开鲁县,4353.0,39.0,开鲁镇,28400.0
150524.0,库伦旗,4709.0,18.0,库伦镇,28200.0
150525.0,奈曼旗,8135.0,45.0,大沁他拉镇,28300.0
150526.0,扎鲁特旗,16492.0,31.0,鲁北镇,29100.0
150521.0,科尔沁左翼中旗,9573.0,52.0,保康镇,29300.0
150522.0,科尔沁左翼后旗,11500.0,40.0,甘旗卡镇,28100.0
150600.0,鄂尔多斯市,87123.0,164.0,康巴什区,17000.0
150603.0,康巴什区,373.0,4.0,滨河街道,17010.0
150602.0,东胜区,2146.0,27.0,天骄街道,17000.0
150621.0,达拉特旗,8241.0,37.0,工业街道,14300.0
150622.0,准格尔旗,7692.0,33.0,兴隆街道,17100.0
150623.0,鄂托克前旗,12221.0,8.0,敖勒召其镇,16200.0
150624.0,鄂托克旗,20367.0,10.0,乌兰镇,16100.0
150625.0,杭锦旗,18913.0,14.0,锡尼镇,17400.0
150626.0,乌审旗,11674.0,12.0,嘎鲁图镇,17300.0
150627.0,伊金霍洛旗,5496.0,18.0,阿勒腾席热镇,17200.0
150700.0,呼伦贝尔市,260239.0,255.0,海拉尔区,21000.0
150702.0,海拉尔区,1440.0,29.0,正阳街道,21000.0
150703.0,扎赉诺尔区,270.0,9.0,第三街道,21410.0
150781.0,满洲里市,464.0,9.0,东山街道,21400.0
150782.0,牙克石市,27590.0,32.0,新工街道,22150.0
150783.0,扎兰屯市,16785.0,40.0,兴华街道,162650.0
150784.0,额尔古纳市,28958.0,8.0,拉布大林街道,22250.0
150785.0,根河市,20012.0,13.0,河西街道,22350.0
150721.0,阿荣旗,11075.0,32.0,那吉镇,162750.0
150725.0,陈巴尔虎旗,17458.0,5.0,巴彦库仁镇,21500.0
150726.0,新巴尔虎左旗,22000.0,4.0,阿木古郎镇,21200.0
150727.0,新巴尔虎右旗,24840.0,4.0,阿拉坦额莫勒镇,21300.0
150722.0,莫力达瓦达斡尔族自治旗,10356.0,32.0,尼尔基镇,162850.0
150723.0,鄂伦春自治旗,59880.0,24.0,阿里河镇,165450.0
150724.0,鄂温克族自治旗,19111.0,14.0,巴彦托海镇,21100.0
150800.0,巴彦淖尔市,65139.0,174.0,临河区,15000.0
150802.0,临河区,2333.0,52.0,解放街道,15001.0
150821.0,五原县,2503.0,28.0,隆兴昌镇,15100.0
150822.0,磴口县,3676.0,11.0,巴彦高勒镇,15200.0
150823.0,乌拉特前旗,7482.0,33.0,乌拉山镇,14400.0
150824.0,乌拉特中旗,22868.0,14.0,海流图镇,15300.0
150825.0,乌拉特后旗,24525.0,6.0,巴音宝力格镇,15500.0
150826.0,杭锦后旗,1752.0,29.0,陕坝镇,15400.0
150900.0,乌兰察布市,54606.0,269.0,集宁区,12000.0
150902.0,集宁区,405.0,32.0,新体路街道,12000.0
150981.0,丰镇市,2722.0,31.0,北城区街道,12100.0
150921.0,卓资县,3119.0,20.0,卓资山镇,12300.0
150922.0,化德县,2534.0,16.0,长顺镇,13350.0
150923.0,商都县,4284.0,33.0,七台镇,13450.0
150924.0,兴和县,3518.0,32.0,城关镇,13650.0
150925.0,凉城县,3451.0,23.0,鸿茅镇,13750.0
150926.0,察哈尔右翼前旗,2433.0,21.0,土贵乌拉镇,12200.0
150927.0,察哈尔右翼中旗,4194.0,20.0,科布尔镇,13550.0
150928.0,察哈尔右翼后旗,3910.0,20.0,白音察干镇,12400.0
150929.0,四子王旗,24016.0,21.0,乌兰花镇,11800.0
152200.0,兴安盟,58385.0,163.0,乌兰浩特市,137400.0
152201.0,乌兰浩特市,2354.0,32.0,和平街道,137400.0
152202.0,阿尔山市,7409.0,4.0,温泉街道,137800.0
152224.0,突泉县,4890.0,30.0,突泉镇,137500.0
152221.0,科尔沁右翼前旗,16964.0,33.0,科尔沁镇,137713.0
152222.0,科尔沁右翼中旗,15613.0,25.0,巴彦呼舒镇,29400.0
152223.0,扎赉特旗,11155.0,39.0,音德尔镇,137600.0
152500.0,锡林郭勒盟,199885.0,104.0,锡林浩特市,26000.0
152502.0,锡林浩特市,14778.0,20.0,希日塔拉街道,26000.0
152501.0,二连浩特市,4015.0,4.0,乌兰街道,11100.0
152531.0,多伦县,3864.0,11.0,多伦诺尔镇,27300.0
152522.0,阿巴嘎旗,27476.0,4.0,别力古台镇,11400.0
152523.0,苏尼特左旗,34240.0,3.0,满都拉图镇,11300.0
152524.0,苏尼特右旗,22456.0,7.0,赛汉塔拉镇,11200.0
152525.0,东乌珠穆沁旗,45572.0,8.0,乌里雅斯太镇,26300.0
152526.0,西乌珠穆沁旗,22462.0,8.0,巴拉嘎尔高勒镇,26200.0
152527.0,太仆寺旗,3426.0,21.0,宝昌镇,27000.0
152528.0,镶黄旗,5137.0,3.0,新宝拉格镇,13250.0
152529.0,正镶白旗,6253.0,7.0,明安图镇,13800.0
152530.0,正蓝旗,10206.0,8.0,上都镇,27200.0
152900.0,阿拉善盟,268461.0,19.0,阿拉善左旗,750300.0
152921.0,阿拉善左旗,80412.0,15.0,巴彦浩特镇,750306.0
